message	predicted
Bars nearby	nearby
I wish to gift my girlfriend a gift on her birthday can u suggest some ideas	shopping
Smart tv	shopping
Can you check the time of shalimar express from delhi	travel
today multiplex me days of tafree ka details	travel
And return policy	travel
Where is awadassam exp train no 15910	travel
I want to buy a some books	travel
New Udupi restaurant menu	food
Garib rath ratlam to boriwali today 3tier seat availability	travel
See MI 3s cover	shopping
Suraj cinema najafgarh which movie today	movies
Tell me the trains from Delhi to Koderma	travel
Egg biryani	food
Reliance store near my location	nearby
Cancel my all wake up alarm	reminders
10 th	travel
Hey can you give me some details on McDonald's like menu,opening closing time	food
Hi can u show me second seater tickets for intercity on Sunday morning	travel
Please send me world trade park jaipur mall pic	travel
Please turn off these reminders	reminders
SBSTC TIMING FROM ASANSOL TO KOLKATA	travel
after every 30 min	reminders
Bathroom cleaner	shopping
OK , Can you please book the technician for me.	travel
I want to know near by reliance jio mini stores	nearby
Womens shoes for my mom size 10  Rs 4000 to 5000	shopping
not able to recharge121 on aircel	recharge
Any medical store near my location	nearby
Pens without cartridge refils	travel
I want Peter England white shirt for men	shopping
Adidas superstar shoe price in india	shopping
Samsung mobile service centre in pimple saudagar	shopping
Cncl dh reminder	reminders
Can I get jacket   or sweater	shopping
Is there an unlimited data pack?	recharge
Men's sandals	shopping
What's the fare of Hyderabad to Mumbai in flight	travel
i want to know... Railway Ticket Charge for. .  kannur to Alleppey . .  Sleeping compartment	travel
Can't you remind me the context of the reminder	reminders
Order something	food
Can i  get train details	travel
Train available today from Delhi to Allahabad	travel
Suggest me some gift for male best friend	shopping
32. GB 3.0 dual USB pendrive	shopping
Find me the cheapest air ticket to Mumbai	travel
I want to book two tickets of 10:45 . Royal	travel
I want a wakeup call at 6:41 every day except sunday	reminders
Kfc menu pls	food
side row	travel
Kutch	travel
What should be the cheapest 3nights plan for Goa	travel
I want to buy Amazon E-Gift Card{carousel_cta}	shopping
trimmer	shopping
Plz remind me on every Monday nd Thursday I hv to msg one doctors	reminders
Where do I find the most spicy non veg Biriyani in Hyderabad?	food
Kindly remind me on10.30 am to call mr sandha babu.	reminders
Hey get me the fare for howrah rajdhani	travel
Check the cheapest  lowest fair price for air plane ticket Jaipur to Mumbai from goibibo	travel
Now u can stop this reminder	reminders
I want recipe of chiken chilly	food
Sbi	travel
Mi 3s prime show me plz	shopping
Opticals nearby	nearby
Is there train from ooty to Bangalore. Today and tom	travel
You place the order?	food
I want to go to Delhi, mathura,vrindavan,dwarka, rishikesh haridwar please make a proper plan for my trip	travel
Please remind me to pay mobile bill on next Saturday at 9pm	reminders
Don't want wake up call	reminders
Tell me the train between Boisar to Surat	travel
Car service	support
Price k5 plus lenovo	shopping
I want to buy a scooter	travel
What About train train on 16th late night	travel
I wanted to plan a trip to north during this Diwali	travel
Gorakhpur to delhi	travel
17416 train right time	travel
I want evening train details	travel
Any train which the seats are available	travel
S case grip back cover I like it	shopping
Shoes store near hatibagan	shopping
Can u delete the remainder kept on 19-10-2016	reminders
Banks nearby?	nearby
Is there a vacancy in a sleeper class ?	travel
New Delhi to Patna	travel
Hey am in siliguri, looking for shopping for men specially pant, (jeans)  casual shoe and jumper .	shopping
Call Kashif at 11 am today for wish Eid	reminders
Hey I would like to order one veg singles combo from dominos!	food
I lyk the blue	shopping
I want to buy micromax mega 2 Q426	shopping
And for table booking	travel
Hi, Can you help me book train tickets?	travel
Set a reminder today 12 noon . Plz	reminders
Suggest me good hotels in mumbai	travel
I need SBI ATM	travel
from where i can buy it	travel
Could u help me with flight fares from hyderabad to ahmedabad during diwali	travel
Please send train schedule of bhavnagar	travel
I want to know the offers on recharge, bill payment of airtel prepaid and postpaid	recharge
Sonu	travel
There's a restaurant in vashi. Four points	food
tesihon movie timing in pwelian cinema ldh	movies
I want train between vasai road to lonavala today	travel
3bhk	travel
Jantha garage benifit shows in hyderabad	travel
I don't specifically want those features I want a laptop of 2.5 or greater speed processor and greater than 8 GB ram	shopping
Domino's offer	food
honda service center	support
Why u refund my money?	recharge
Need bar menu's for Ten down street nagpur	food
Near by pvr cinema	movies
I need to order 5 chocochip and 1 Vailine ice cream from Cafe Dlite Goregoan	food
Not airtel	recharge
Hey plz help me with the platform no on which train 12630 will arrive in Hubli	travel
Can you find out any Chinese restaurant in Hyderabad	food
Is there any restro lounge here	food
Do u have any antik iPhone 6splus cover	shopping
Just now I again received order cancelled message from flipkart	shopping
Nashra can u send me today night Bangalore yeshwanthopore train from calicut	travel
just show me the key chains	shopping
Can ew check the train status	travel
What will the cost of 1 wig for men	travel
Find me nearest hdfc atm	nearby
Cancel the reminder	reminders
Any cheaper flight on 18	travel
Which is the best restaurant in mumbai panvel	travel
Row above that...E row	travel
I want to buy fourth year BDS books	travel
Delhi to akola 20 septe	travel
Can u wake me up at 6 in the morning pls	reminders
sir balance nhi refund hua mera.....	recharge
Can u plz tellme where's union bank in vasai west	nearby
Best noodles	shopping
Women's clothes	shopping
Morena to nzm taj express which platform no. Is coming	travel
Can you plz check for this PNR ? Baggage allowance	travel
trip to shimla	travel
Dinner for one budget upto rs. 100. Can u book for home delivery?	food
pls tell me about yes bank atm	nearby
Is there any hotel for stay?	travel
Need a taxi	travel
SanDisk Ultra 16 GB MicroSDHC Class 10 48 MB/s Memory Card is available fpr Rs. 298 after a discount of 25% off	shopping
Good gujarati restaurant	food
Yes bank	nearby
Is there any cash back offers for recharge	recharge
16 GB pen drive is buying	shopping
Camcel all reminders	reminders
idbi bank	nearby
still getting massage and call	reminders
Specs frame	shopping
Any offers to travel to delhi on 23 .9 .16 back to hyd on 25.9.16	travel
What the show timings in gayathri theatre in tumkur	movies
Cinepolis kochi runnig movies ?	movies
What time is the afternoon show at Gayatri theatre Mysore	travel
Indore to Goa flight for 2	travel
Could you please set a reminder	reminders
I want to buy this tshrt for couple	travel
delhi to mcleodganj please plan a two day trip for me	travel
Ranchi to daltenganj  by ac bus in morning on 27.09.16	travel
Nearest music store	nearby
timing of south indian food in kasba	food
I want to buy Funky Ankle socks Combo 1{product_id:3437, product_name:Funky Ankle socks Combo 1, api_id:, api_name:deal_of_day}{carousel_cta}	shopping
Aerobics classes near by arena mall	travel
refund naya	travel
I need to go to nearest hill station from Delhi	travel
October 4	travel
Hey I am Looking For Some Bluetooth earphones	shopping
I need jbl earphones	shopping
Pune to patna jana h 17.3.2017 Ko flight	travel
activate DND	reminders
Can u check me ticket from chennai to hubli tomorrow	travel
Please find me nearest post office	nearby
The recharge was not successful	recharge
No I took this train 5.15 pm in evening	travel
Check  seat available in any train	travel
Hi, show me best deals on mobile phones{task}	shopping
Two ticket	travel
Remind me that i have to go to bank tomoro	reminders
Find me a cheap hotel in Bikaner, Rajasthan close to BSF Camp, Sagar Road. A room for two.	travel
Please make sure that I wake up	reminders
Hey, can you remind me about i am to take payment from sonu kumar on 5th of October	reminders
Plz tell me about low prize cost flight tikit before 3month	travel
Can you check flights for Delhi Kolkata for tomorrow	travel
Ram	travel
Any cheapest food	food
Good but I am not satisfied ... OK I will send u some pictures of t-shirts , nd I hope u will understand, nd u show those types of t-shirts... For me.	shopping
Wish to know detailed features of iPhone 7	shopping
Dominos cupon valid today?	food
Redmi 3s prime has different sim slot or same for memory card ?	shopping
Can you show some malayalam movies	movies
Hey, find me nearest Indulsnd bank branch	nearby
iwant to go to ananthapur from vellore tomorrow  by bus	travel
If I Catch train  Kamrup from Kishangunge, What time I reach Malda	travel
McDonald's coupons please	food
Mumbai local train map was not dowloade	travel
17 Sep chennai to Hyderabad trains	travel
Drop reminder	reminders
Nearby dance class	nearby
Ya that red one	travel
Hey, can you set a wake up alarm for me?	reminders
Rental room	travel
Recharge  reminder for tomorrow	reminders
Suggest Wireless mouse	shopping
Wireless key board upto 500 rs	shopping
T-shirt	shopping
Golden thin strap	shopping
I wanted some discount on ola or under ride	travel
Can I travel in train if tickets booked is in waiting list even after chart preparation. Ticket was booked in tatkal quota.	travel
Shopping mall	movies
Stations between Pune and Mumbai Cstm of Deccan Queen 12124	travel
Give me nearest airtel show room to my current location	travel
Can i get pizza	food
Oneplus 3	shopping
